episode,timestep,reward
0,0,-40392.39744780859
1,512,-6.842979452001493
2,1024,-46937.42832033627
3,1536,-42084.06398082357
4,2048,-12864.731347247307
5,2560,-1101.8942819465115
6,3072,0.12877359068420519
7,3584,3.730492345988876
8,4096,-310.6652453695787
9,4608,-983.6867625504325
10,5120,-1531.6269984245048
11,5632,-361.6571688336684
12,6144,-42.58181152716389
13,6656,13.16418073779411
14,7168,19.933922207780903
15,7680,17.806520619506816
16,8192,16.54624005843725
17,8704,22.068000403949796
18,9216,25.03227370905387
19,9728,21.707568496926815
20,10240,25.97805095446048
21,10752,23.292816052214178
22,11264,17.432072002425855
23,11776,7.0536871215550905
24,12288,20.606607799490316
25,12800,24.49798231653418
26,13312,28.54815312759442
27,13824,19.87956276057176
28,14336,26.203190944063444
29,14848,27.421458780946594
30,15360,22.190569684806324
31,15872,28.03455525373745
32,16384,27.173841742023157
33,16896,27.54833470590073
34,17408,28.7555806329199
35,17920,23.175251065598104
36,18432,27.581627274494565
37,18944,20.44519106798841
38,19456,25.596797846955837
39,19968,29.939666848706867
40,20480,27.48714764512143
41,20992,22.99326516545859
42,21504,27.830053764182363
43,22016,22.21975059366776
44,22528,28.83403409243678
45,23040,28.295702009156436
46,23552,21.259879292013824
47,24064,29.061159593627362
48,24576,28.11724613690105
49,25088,29.967372642200232
50,25600,24.499473484569624
51,26112,36.63547841057309
52,26624,28.38601609203563
53,27136,32.56560732637795
54,27648,23.556992541961055
55,28160,30.477305744447417
56,28672,33.01412622596396
57,29184,27.34575253979238
58,29696,29.360239521486744
59,30208,36.1921015130296
60,30720,22.107981368836995
61,31232,26.748157526642878
62,31744,27.507849406217662
63,32256,25.8364125921029
64,32768,24.77586773141597
65,33280,30.963845315957666
66,33792,23.490849973528608
67,34304,23.23452648104732
68,34816,28.902773547772618
69,35328,30.606181949474976
70,35840,30.277751945347223
71,36352,27.435097962174975
72,36864,27.22842903640985
73,37376,28.81141216099085
74,37888,27.612943785163807
75,38400,32.20214619365593
76,38912,30.289839413270357
77,39424,31.378868257143058
78,39936,31.043489068837268
79,40448,28.65795825047569
80,40960,30.4759518928358
81,41472,29.977703562805313
82,41984,23.971348058604452
83,42496,29.68737634045204
84,43008,30.55530740364302
85,43520,31.985396477097076
86,44032,32.73223368064943
87,44544,24.98694556580954
88,45056,25.033136686477093
89,45568,26.44876946040774
90,46080,32.060449746217415
91,46592,28.699505566479388
92,47104,29.32679863310438
93,47616,28.572369676019065
94,48128,29.470503096803103
95,48640,25.653818184807623
96,49152,29.039279890343256
97,49664,32.804326521967425
98,50176,33.573075260268574
99,50688,35.20158118753753
