interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp
2022-01-01T00:00:00-05:00,2022-01-01 05:00:00+00:00,2022-01-01T01:00:00-05:00,2022-01-01 06:00:00+00:00,AECO,19.986087
2022-01-01T01:00:00-05:00,2022-01-01 06:00:00+00:00,2022-01-01T02:00:00-05:00,2022-01-01 07:00:00+00:00,AECO,17.670628
2022-01-01T02:00:00-05:00,2022-01-01 07:00:00+00:00,2022-01-01T03:00:00-05:00,2022-01-01 08:00:00+00:00,AECO,17.355634
2022-01-01T03:00:00-05:00,2022-01-01 08:00:00+00:00,2022-01-01T04:00:00-05:00,2022-01-01 09:00:00+00:00,AECO,17.149045
2022-01-01T04:00:00-05:00,2022-01-01 09:00:00+00:00,2022-01-01T05:00:00-05:00,2022-01-01 10:00:00+00:00,AECO,16.954055
2022-01-01T05:00:00-05:00,2022-01-01 10:00:00+00:00,2022-01-01T06:00:00-05:00,2022-01-01 11:00:00+00:00,AECO,16.894904
2022-01-01T06:00:00-05:00,2022-01-01 11:00:00+00:00,2022-01-01T07:00:00-05:00,2022-01-01 12:00:00+00:00,AECO,16.965484
2022-01-01T07:00:00-05:00,2022-01-01 12:00:00+00:00,2022-01-01T08:00:00-05:00,2022-01-01 13:00:00+00:00,AECO,17.454028
2022-01-01T08:00:00-05:00,2022-01-01 13:00:00+00:00,2022-01-01T09:00:00-05:00,2022-01-01 14:00:00+00:00,AECO,18.907247
2022-01-01T09:00:00-05:00,2022-01-01 14:00:00+00:00,2022-01-01T10:00:00-05:00,2022-01-01 15:00:00+00:00,AECO,19.015099
2022-01-01T10:00:00-05:00,2022-01-01 15:00:00+00:00,2022-01-01T11:00:00-05:00,2022-01-01 16:00:00+00:00,AECO,23.961653
2022-01-01T11:00:00-05:00,2022-01-01 16:00:00+00:00,2022-01-01T12:00:00-05:00,2022-01-01 17:00:00+00:00,AECO,24.427584
2022-01-01T12:00:00-05:00,2022-01-01 17:00:00+00:00,2022-01-01T13:00:00-05:00,2022-01-01 18:00:00+00:00,AECO,24.538394
2022-01-01T13:00:00-05:00,2022-01-01 18:00:00+00:00,2022-01-01T14:00:00-05:00,2022-01-01 19:00:00+00:00,AECO,24.46426
2022-01-01T14:00:00-05:00,2022-01-01 19:00:00+00:00,2022-01-01T15:00:00-05:00,2022-01-01 20:00:00+00:00,AECO,23.811913
2022-01-01T15:00:00-05:00,2022-01-01 20:00:00+00:00,2022-01-01T16:00:00-05:00,2022-01-01 21:00:00+00:00,AECO,23.159742
2022-01-01T16:00:00-05:00,2022-01-01 21:00:00+00:00,2022-01-01T17:00:00-05:00,2022-01-01 22:00:00+00:00,AECO,23.801143
2022-01-01T17:00:00-05:00,2022-01-01 22:00:00+00:00,2022-01-01T18:00:00-05:00,2022-01-01 23:00:00+00:00,AECO,25.652544
2022-01-01T18:00:00-05:00,2022-01-01 23:00:00+00:00,2022-01-01T19:00:00-05:00,2022-01-02 00:00:00+00:00,AECO,24.471146
2022-01-01T19:00:00-05:00,2022-01-02 00:00:00+00:00,2022-01-01T20:00:00-05:00,2022-01-02 01:00:00+00:00,AECO,22.402677
2022-01-01T20:00:00-05:00,2022-01-02 01:00:00+00:00,2022-01-01T21:00:00-05:00,2022-01-02 02:00:00+00:00,AECO,23.368726
2022-01-01T21:00:00-05:00,2022-01-02 02:00:00+00:00,2022-01-01T22:00:00-05:00,2022-01-02 03:00:00+00:00,AECO,23.247567
2022-01-01T22:00:00-05:00,2022-01-02 03:00:00+00:00,2022-01-01T23:00:00-05:00,2022-01-02 04:00:00+00:00,AECO,23.992086
2022-01-01T23:00:00-05:00,2022-01-02 04:00:00+00:00,2022-01-02T00:00:00-05:00,2022-01-02 05:00:00+00:00,AECO,21.522468
2022-01-02T00:00:00-05:00,2022-01-02 05:00:00+00:00,2022-01-02T01:00:00-05:00,2022-01-02 06:00:00+00:00,AECO,21.429249
2022-01-02T01:00:00-05:00,2022-01-02 06:00:00+00:00,2022-01-02T02:00:00-05:00,2022-01-02 07:00:00+00:00,AECO,20.487897
2022-01-02T02:00:00-05:00,2022-01-02 07:00:00+00:00,2022-01-02T03:00:00-05:00,2022-01-02 08:00:00+00:00,AECO,20.300225
2022-01-02T03:00:00-05:00,2022-01-02 08:00:00+00:00,2022-01-02T04:00:00-05:00,2022-01-02 09:00:00+00:00,AECO,19.770729
2022-01-02T04:00:00-05:00,2022-01-02 09:00:00+00:00,2022-01-02T05:00:00-05:00,2022-01-02 10:00:00+00:00,AECO,19.350663
2022-01-02T05:00:00-05:00,2022-01-02 10:00:00+00:00,2022-01-02T06:00:00-05:00,2022-01-02 11:00:00+00:00,AECO,20.444611
2022-01-02T06:00:00-05:00,2022-01-02 11:00:00+00:00,2022-01-02T07:00:00-05:00,2022-01-02 12:00:00+00:00,AECO,17.417333
2022-01-02T07:00:00-05:00,2022-01-02 12:00:00+00:00,2022-01-02T08:00:00-05:00,2022-01-02 13:00:00+00:00,AECO,20.985076
2022-01-02T08:00:00-05:00,2022-01-02 13:00:00+00:00,2022-01-02T09:00:00-05:00,2022-01-02 14:00:00+00:00,AECO,22.558564
2022-01-02T09:00:00-05:00,2022-01-02 14:00:00+00:00,2022-01-02T10:00:00-05:00,2022-01-02 15:00:00+00:00,AECO,22.50853
2022-01-02T10:00:00-05:00,2022-01-02 15:00:00+00:00,2022-01-02T11:00:00-05:00,2022-01-02 16:00:00+00:00,AECO,22.70603
2022-01-02T11:00:00-05:00,2022-01-02 16:00:00+00:00,2022-01-02T12:00:00-05:00,2022-01-02 17:00:00+00:00,AECO,22.997124
2022-01-02T12:00:00-05:00,2022-01-02 17:00:00+00:00,2022-01-02T13:00:00-05:00,2022-01-02 18:00:00+00:00,AECO,24.900573
2022-01-02T13:00:00-05:00,2022-01-02 18:00:00+00:00,2022-01-02T14:00:00-05:00,2022-01-02 19:00:00+00:00,AECO,23.833819
2022-01-02T14:00:00-05:00,2022-01-02 19:00:00+00:00,2022-01-02T15:00:00-05:00,2022-01-02 20:00:00+00:00,AECO,23.858991
2022-01-02T15:00:00-05:00,2022-01-02 20:00:00+00:00,2022-01-02T16:00:00-05:00,2022-01-02 21:00:00+00:00,AECO,23.969334
2022-01-02T16:00:00-05:00,2022-01-02 21:00:00+00:00,2022-01-02T17:00:00-05:00,2022-01-02 22:00:00+00:00,AECO,24.832052
2022-01-02T17:00:00-05:00,2022-01-02 22:00:00+00:00,2022-01-02T18:00:00-05:00,2022-01-02 23:00:00+00:00,AECO,33.562745
2022-01-02T18:00:00-05:00,2022-01-02 23:00:00+00:00,2022-01-02T19:00:00-05:00,2022-01-03 00:00:00+00:00,AECO,29.08681
2022-01-02T19:00:00-05:00,2022-01-03 00:00:00+00:00,2022-01-02T20:00:00-05:00,2022-01-03 01:00:00+00:00,AECO,28.389629
2022-01-02T20:00:00-05:00,2022-01-03 01:00:00+00:00,2022-01-02T21:00:00-05:00,2022-01-03 02:00:00+00:00,AECO,26.652721
2022-01-02T21:00:00-05:00,2022-01-03 02:00:00+00:00,2022-01-02T22:00:00-05:00,2022-01-03 03:00:00+00:00,AECO,25.314165
2022-01-02T22:00:00-05:00,2022-01-03 03:00:00+00:00,2022-01-02T23:00:00-05:00,2022-01-03 04:00:00+00:00,AECO,30.528444
2022-01-02T23:00:00-05:00,2022-01-03 04:00:00+00:00,2022-01-03T00:00:00-05:00,2022-01-03 05:00:00+00:00,AECO,25.307774
2022-01-03T00:00:00-05:00,2022-01-03 05:00:00+00:00,2022-01-03T01:00:00-05:00,2022-01-03 06:00:00+00:00,AECO,20.408416
2022-01-03T01:00:00-05:00,2022-01-03 06:00:00+00:00,2022-01-03T02:00:00-05:00,2022-01-03 07:00:00+00:00,AECO,19.646594
2022-01-03T02:00:00-05:00,2022-01-03 07:00:00+00:00,2022-01-03T03:00:00-05:00,2022-01-03 08:00:00+00:00,AECO,19.418746
2022-01-03T03:00:00-05:00,2022-01-03 08:00:00+00:00,2022-01-03T04:00:00-05:00,2022-01-03 09:00:00+00:00,AECO,18.043178
2022-01-03T04:00:00-05:00,2022-01-03 09:00:00+00:00,2022-01-03T05:00:00-05:00,2022-01-03 10:00:00+00:00,AECO,19.738269
2022-01-03T05:00:00-05:00,2022-01-03 10:00:00+00:00,2022-01-03T06:00:00-05:00,2022-01-03 11:00:00+00:00,AECO,23.401344
2022-01-03T06:00:00-05:00,2022-01-03 11:00:00+00:00,2022-01-03T07:00:00-05:00,2022-01-03 12:00:00+00:00,AECO,28.357121
2022-01-03T07:00:00-05:00,2022-01-03 12:00:00+00:00,2022-01-03T08:00:00-05:00,2022-01-03 13:00:00+00:00,AECO,36.402341
2022-01-03T08:00:00-05:00,2022-01-03 13:00:00+00:00,2022-01-03T09:00:00-05:00,2022-01-03 14:00:00+00:00,AECO,37.257697
2022-01-03T09:00:00-05:00,2022-01-03 14:00:00+00:00,2022-01-03T10:00:00-05:00,2022-01-03 15:00:00+00:00,AECO,36.237859
2022-01-03T10:00:00-05:00,2022-01-03 15:00:00+00:00,2022-01-03T11:00:00-05:00,2022-01-03 16:00:00+00:00,AECO,37.564363
2022-01-03T11:00:00-05:00,2022-01-03 16:00:00+00:00,2022-01-03T12:00:00-05:00,2022-01-03 17:00:00+00:00,AECO,36.862559
2022-01-03T12:00:00-05:00,2022-01-03 17:00:00+00:00,2022-01-03T13:00:00-05:00,2022-01-03 18:00:00+00:00,AECO,30.757444
2022-01-03T13:00:00-05:00,2022-01-03 18:00:00+00:00,2022-01-03T14:00:00-05:00,2022-01-03 19:00:00+00:00,AECO,31.145211
2022-01-03T14:00:00-05:00,2022-01-03 19:00:00+00:00,2022-01-03T15:00:00-05:00,2022-01-03 20:00:00+00:00,AECO,31.611432
2022-01-03T15:00:00-05:00,2022-01-03 20:00:00+00:00,2022-01-03T16:00:00-05:00,2022-01-03 21:00:00+00:00,AECO,33.335377
2022-01-03T16:00:00-05:00,2022-01-03 21:00:00+00:00,2022-01-03T17:00:00-05:00,2022-01-03 22:00:00+00:00,AECO,43.704385
2022-01-03T17:00:00-05:00,2022-01-03 22:00:00+00:00,2022-01-03T18:00:00-05:00,2022-01-03 23:00:00+00:00,AECO,63.186869
2022-01-03T18:00:00-05:00,2022-01-03 23:00:00+00:00,2022-01-03T19:00:00-05:00,2022-01-04 00:00:00+00:00,AECO,48.599437
2022-01-03T19:00:00-05:00,2022-01-04 00:00:00+00:00,2022-01-03T20:00:00-05:00,2022-01-04 01:00:00+00:00,AECO,44.905899
2022-01-03T20:00:00-05:00,2022-01-04 01:00:00+00:00,2022-01-03T21:00:00-05:00,2022-01-04 02:00:00+00:00,AECO,41.853475
2022-01-03T21:00:00-05:00,2022-01-04 02:00:00+00:00,2022-01-03T22:00:00-05:00,2022-01-04 03:00:00+00:00,AECO,42.113637
2022-01-03T22:00:00-05:00,2022-01-04 03:00:00+00:00,2022-01-03T23:00:00-05:00,2022-01-04 04:00:00+00:00,AECO,34.951071
