interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_short_name,location_type,lmp
2022-01-01T00:00:00-05:00,2022-01-01 05:00:00+00:00,2022-01-01T00:05:00-05:00,2022-01-01 05:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,19.342458
2022-01-01T00:05:00-05:00,2022-01-01 05:05:00+00:00,2022-01-01T00:10:00-05:00,2022-01-01 05:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,19.157708
2022-01-01T00:10:00-05:00,2022-01-01 05:10:00+00:00,2022-01-01T00:15:00-05:00,2022-01-01 05:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.130374
2022-01-01T00:15:00-05:00,2022-01-01 05:15:00+00:00,2022-01-01T00:20:00-05:00,2022-01-01 05:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.769126
2022-01-01T00:20:00-05:00,2022-01-01 05:20:00+00:00,2022-01-01T00:25:00-05:00,2022-01-01 05:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,20.480559
2022-01-01T00:25:00-05:00,2022-01-01 05:25:00+00:00,2022-01-01T00:30:00-05:00,2022-01-01 05:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.545888
2022-01-01T00:30:00-05:00,2022-01-01 05:30:00+00:00,2022-01-01T00:35:00-05:00,2022-01-01 05:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.89528
2022-01-01T00:35:00-05:00,2022-01-01 05:35:00+00:00,2022-01-01T00:40:00-05:00,2022-01-01 05:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.973771
2022-01-01T00:40:00-05:00,2022-01-01 05:40:00+00:00,2022-01-01T00:45:00-05:00,2022-01-01 05:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.533913
2022-01-01T00:45:00-05:00,2022-01-01 05:45:00+00:00,2022-01-01T00:50:00-05:00,2022-01-01 05:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.579652
2022-01-01T00:50:00-05:00,2022-01-01 05:50:00+00:00,2022-01-01T00:55:00-05:00,2022-01-01 05:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.128411
2022-01-01T00:55:00-05:00,2022-01-01 05:55:00+00:00,2022-01-01T01:00:00-05:00,2022-01-01 06:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,19.419842
2022-01-01T01:00:00-05:00,2022-01-01 06:00:00+00:00,2022-01-01T01:05:00-05:00,2022-01-01 06:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.877109
2022-01-01T01:05:00-05:00,2022-01-01 06:05:00+00:00,2022-01-01T01:10:00-05:00,2022-01-01 06:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.64441
2022-01-01T01:10:00-05:00,2022-01-01 06:10:00+00:00,2022-01-01T01:15:00-05:00,2022-01-01 06:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.977978
2022-01-01T01:15:00-05:00,2022-01-01 06:15:00+00:00,2022-01-01T01:20:00-05:00,2022-01-01 06:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.285118
2022-01-01T01:20:00-05:00,2022-01-01 06:20:00+00:00,2022-01-01T01:25:00-05:00,2022-01-01 06:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.70066
2022-01-01T01:25:00-05:00,2022-01-01 06:25:00+00:00,2022-01-01T01:30:00-05:00,2022-01-01 06:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.876482
2022-01-01T01:30:00-05:00,2022-01-01 06:30:00+00:00,2022-01-01T01:35:00-05:00,2022-01-01 06:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.779232
2022-01-01T01:35:00-05:00,2022-01-01 06:35:00+00:00,2022-01-01T01:40:00-05:00,2022-01-01 06:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.924444
2022-01-01T01:40:00-05:00,2022-01-01 06:40:00+00:00,2022-01-01T01:45:00-05:00,2022-01-01 06:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.728759
2022-01-01T01:45:00-05:00,2022-01-01 06:45:00+00:00,2022-01-01T01:50:00-05:00,2022-01-01 06:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.92577
2022-01-01T01:50:00-05:00,2022-01-01 06:50:00+00:00,2022-01-01T01:55:00-05:00,2022-01-01 06:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.012456
2022-01-01T01:55:00-05:00,2022-01-01 06:55:00+00:00,2022-01-01T02:00:00-05:00,2022-01-01 07:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.705964
2022-01-01T02:00:00-05:00,2022-01-01 07:00:00+00:00,2022-01-01T02:05:00-05:00,2022-01-01 07:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.608698
2022-01-01T02:05:00-05:00,2022-01-01 07:05:00+00:00,2022-01-01T02:10:00-05:00,2022-01-01 07:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,20.885344
2022-01-01T02:10:00-05:00,2022-01-01 07:10:00+00:00,2022-01-01T02:15:00-05:00,2022-01-01 07:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.708579
2022-01-01T02:15:00-05:00,2022-01-01 07:15:00+00:00,2022-01-01T02:20:00-05:00,2022-01-01 07:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.717582
2022-01-01T02:20:00-05:00,2022-01-01 07:20:00+00:00,2022-01-01T02:25:00-05:00,2022-01-01 07:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.426582
2022-01-01T02:25:00-05:00,2022-01-01 07:25:00+00:00,2022-01-01T02:30:00-05:00,2022-01-01 07:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.726896
2022-01-01T02:30:00-05:00,2022-01-01 07:30:00+00:00,2022-01-01T02:35:00-05:00,2022-01-01 07:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.731124
2022-01-01T02:35:00-05:00,2022-01-01 07:35:00+00:00,2022-01-01T02:40:00-05:00,2022-01-01 07:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.044754
2022-01-01T02:40:00-05:00,2022-01-01 07:40:00+00:00,2022-01-01T02:45:00-05:00,2022-01-01 07:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.614423
2022-01-01T02:45:00-05:00,2022-01-01 07:45:00+00:00,2022-01-01T02:50:00-05:00,2022-01-01 07:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.732452
2022-01-01T02:50:00-05:00,2022-01-01 07:50:00+00:00,2022-01-01T02:55:00-05:00,2022-01-01 07:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.858769
2022-01-01T02:55:00-05:00,2022-01-01 07:55:00+00:00,2022-01-01T03:00:00-05:00,2022-01-01 08:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.921661
2022-01-01T03:00:00-05:00,2022-01-01 08:00:00+00:00,2022-01-01T03:05:00-05:00,2022-01-01 08:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.872688
2022-01-01T03:05:00-05:00,2022-01-01 08:05:00+00:00,2022-01-01T03:10:00-05:00,2022-01-01 08:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.678283
2022-01-01T03:10:00-05:00,2022-01-01 08:10:00+00:00,2022-01-01T03:15:00-05:00,2022-01-01 08:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.631143
2022-01-01T03:15:00-05:00,2022-01-01 08:15:00+00:00,2022-01-01T03:20:00-05:00,2022-01-01 08:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.855767
2022-01-01T03:20:00-05:00,2022-01-01 08:20:00+00:00,2022-01-01T03:25:00-05:00,2022-01-01 08:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.696252
2022-01-01T03:25:00-05:00,2022-01-01 08:25:00+00:00,2022-01-01T03:30:00-05:00,2022-01-01 08:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.711782
2022-01-01T03:30:00-05:00,2022-01-01 08:30:00+00:00,2022-01-01T03:35:00-05:00,2022-01-01 08:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.760829
2022-01-01T03:35:00-05:00,2022-01-01 08:35:00+00:00,2022-01-01T03:40:00-05:00,2022-01-01 08:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.682687
2022-01-01T03:40:00-05:00,2022-01-01 08:40:00+00:00,2022-01-01T03:45:00-05:00,2022-01-01 08:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.699408
2022-01-01T03:45:00-05:00,2022-01-01 08:45:00+00:00,2022-01-01T03:50:00-05:00,2022-01-01 08:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.6329
2022-01-01T03:50:00-05:00,2022-01-01 08:50:00+00:00,2022-01-01T03:55:00-05:00,2022-01-01 08:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.608192
2022-01-01T03:55:00-05:00,2022-01-01 08:55:00+00:00,2022-01-01T04:00:00-05:00,2022-01-01 09:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.828364
2022-01-01T04:00:00-05:00,2022-01-01 09:00:00+00:00,2022-01-01T04:05:00-05:00,2022-01-01 09:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.770794
2022-01-01T04:05:00-05:00,2022-01-01 09:05:00+00:00,2022-01-01T04:10:00-05:00,2022-01-01 09:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.752823
2022-01-01T04:10:00-05:00,2022-01-01 09:10:00+00:00,2022-01-01T04:15:00-05:00,2022-01-01 09:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.457691
2022-01-01T04:15:00-05:00,2022-01-01 09:15:00+00:00,2022-01-01T04:20:00-05:00,2022-01-01 09:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.998204
2022-01-01T04:20:00-05:00,2022-01-01 09:20:00+00:00,2022-01-01T04:25:00-05:00,2022-01-01 09:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.660558
2022-01-01T04:25:00-05:00,2022-01-01 09:25:00+00:00,2022-01-01T04:30:00-05:00,2022-01-01 09:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.739589
2022-01-01T04:30:00-05:00,2022-01-01 09:30:00+00:00,2022-01-01T04:35:00-05:00,2022-01-01 09:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.762239
2022-01-01T04:35:00-05:00,2022-01-01 09:35:00+00:00,2022-01-01T04:40:00-05:00,2022-01-01 09:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,18.551946
2022-01-01T04:40:00-05:00,2022-01-01 09:40:00+00:00,2022-01-01T04:45:00-05:00,2022-01-01 09:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.307572
2022-01-01T04:45:00-05:00,2022-01-01 09:45:00+00:00,2022-01-01T04:50:00-05:00,2022-01-01 09:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.675262
2022-01-01T04:50:00-05:00,2022-01-01 09:50:00+00:00,2022-01-01T04:55:00-05:00,2022-01-01 09:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.427064
2022-01-01T04:55:00-05:00,2022-01-01 09:55:00+00:00,2022-01-01T05:00:00-05:00,2022-01-01 10:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.886605
2022-01-01T05:00:00-05:00,2022-01-01 10:00:00+00:00,2022-01-01T05:05:00-05:00,2022-01-01 10:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.013822
2022-01-01T05:05:00-05:00,2022-01-01 10:05:00+00:00,2022-01-01T05:10:00-05:00,2022-01-01 10:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.24276
